epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1477.51,1.69935,3.43487,1.85981,0.6103,0.37177,0.3773,0.24866,1.5327,1.93067,1.65261,0.000713845,0.000237948,0.000713845,0.000237948,0.000713845,0.000237948,0.000713845,0.000237948
2,2872.17,1.47746,1.98062,1.65155,0.61651,0.46321,0.4965,0.31978,1.45153,1.66401,1.56752,0.00139325,0.000464418,0.00139325,0.000464418,0.00139325,0.000464418,0.00139325,0.000464418
3,4243.57,1.42707,1.70903,1.60212,0.64834,0.50157,0.53573,0.34969,1.44805,1.58285,1.55958,0.00193936,0.000646454,0.00193936,0.000646454,0.00193936,0.000646454,0.00193936,0.000646454
4,5614.26,1.39776,1.59141,1.58439,0.58366,0.5684,0.57452,0.36971,1.40912,1.49273,1.53339,0.00170493,0.000568311,0.00170493,0.000568311,0.00170493,0.000568311,0.00170493,0.000568311
5,6991.66,1.35,1.46883,1.54466,0.62474,0.57321,0.5988,0.39281,1.37898,1.41789,1.4991,0.00140936,0.000469786,0.00140936,0.000469786,0.00140936,0.000469786,0.00140936,0.000469786
6,8369.88,1.30098,1.37407,1.50365,0.62791,0.61566,0.62561,0.4129,1.34728,1.35338,1.47278,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057
7,9748.8,1.25945,1.29317,1.46606,0.64273,0.63291,0.62999,0.42236,1.32678,1.32141,1.45761,0.000754062,0.000251354,0.000754062,0.000251354,0.000754062,0.000251354,0.000754062,0.000251354
8,11119.9,1.22702,1.22908,1.44025,0.6625,0.61951,0.65831,0.43879,1.3059,1.28411,1.43464,0.000458487,0.000152829,0.000458487,0.000152829,0.000458487,0.000152829,0.000458487,0.000152829
9,12469.6,1.19824,1.18056,1.41772,0.65991,0.63595,0.65609,0.44216,1.29372,1.26277,1.42403,0.000223917,7.46391e-05,0.000223917,7.46391e-05,0.000223917,7.46391e-05,0.000223917,7.46391e-05
10,13820.2,1.18244,1.15474,1.4074,0.6512,0.64397,0.6623,0.44919,1.29115,1.25623,1.42137,7.33143e-05,2.44381e-05,7.33143e-05,2.44381e-05,7.33143e-05,2.44381e-05,7.33143e-05,2.44381e-05
