epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,940.838,1.70459,3.39022,1.86949,0.57898,0.33565,0.34396,0.22374,1.60684,2.12245,1.71498,0.000713845,0.000237948,0.000713845,0.000237948,0.000713845,0.000237948,0.000713845,0.000237948
2,1836.98,1.52515,2.0992,1.70101,0.62927,0.43031,0.45597,0.29535,1.52474,1.84393,1.64309,0.00139325,0.000464418,0.00139325,0.000464418,0.00139325,0.000464418,0.00139325,0.000464418
3,2720.75,1.46888,1.82283,1.64795,0.54438,0.45777,0.48537,0.31448,1.50674,1.73931,1.62295,0.00193936,0.000646454,0.00193936,0.000646454,0.00193936,0.000646454,0.00193936,0.000646454
4,3600.55,1.44069,1.69778,1.61872,0.58122,0.50997,0.52777,0.34571,1.48015,1.64395,1.58925,0.00170493,0.000568311,0.00170493,0.000568311,0.00170493,0.000568311,0.00170493,0.000568311
5,4481.2,1.39041,1.58199,1.5754,0.58168,0.53446,0.55336,0.36341,1.45586,1.57988,1.55962,0.00140936,0.000469786,0.00140936,0.000469786,0.00140936,0.000469786,0.00140936,0.000469786
6,5361.4,1.35463,1.49799,1.54294,0.61461,0.53082,0.56695,0.37221,1.42727,1.52495,1.53323,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057,0.00108171,0.00036057
7,6242.55,1.31812,1.4283,1.51204,0.60182,0.55276,0.5774,0.38327,1.4126,1.4943,1.52066,0.000754062,0.000251354,0.000754062,0.000251354,0.000754062,0.000251354,0.000754062,0.000251354
8,7121.66,1.29196,1.37962,1.48916,0.62921,0.56356,0.59449,0.39293,1.39915,1.46602,1.50714,0.000458487,0.000152829,0.000458487,0.000152829,0.000458487,0.000152829,0.000458487,0.000152829
9,8001.25,1.26625,1.33394,1.46819,0.61945,0.56747,0.59882,0.39826,1.39127,1.44931,1.49797,0.000223917,7.46391e-05,0.000223917,7.46391e-05,0.000223917,7.46391e-05,0.000223917,7.46391e-05
10,8876.98,1.2515,1.31623,1.45953,0.62438,0.56656,0.60115,0.40099,1.38882,1.44215,1.49521,7.33143e-05,2.44381e-05,7.33143e-05,2.44381e-05,7.33143e-05,2.44381e-05,7.33143e-05,2.44381e-05
