epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1506.34,1.39416,1.77403,1.54515,0.53774,0.46829,0.46987,0.27978,1.6373,1.82568,1.74178,0.00999783,0.00333261,0.00999783,0.00333261,0.00999783,0.00333261,0.00999783,0.00333261
2,2925.88,1.50988,1.97336,1.65294,0.57165,0.3984,0.40135,0.23035,1.74402,1.99182,1.84081,0.0199673,0.00665577,0.0199673,0.00665577,0.0199673,0.00665577,0.0199673,0.00665577
3,4318.12,1.61307,2.1991,1.75279,0.54255,0.33902,0.33732,0.17716,1.84045,2.15197,1.92606,0.029815,0.00993834,0.029815,0.00993834,0.029815,0.00993834,0.029815,0.00993834
4,5708.42,1.633,2.23789,1.77992,0.63226,0.36632,0.40953,0.2359,1.72755,1.99746,1.85185,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
5,7096.2,1.55917,2.0747,1.72692,0.61369,0.42037,0.44923,0.26622,1.66129,1.87993,1.78756,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
6,8490.71,1.51025,1.96459,1.6867,0.57288,0.47267,0.48938,0.29182,1.61365,1.77958,1.7485,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
7,9874.88,1.47239,1.88008,1.6537,0.65961,0.48133,0.52394,0.31371,1.56047,1.69873,1.71173,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
8,11256.9,1.45368,1.82583,1.63865,0.65144,0.50196,0.54165,0.33408,1.53138,1.64004,1.67564,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
9,12635.6,1.41785,1.76867,1.60828,0.64433,0.52333,0.55388,0.3446,1.4998,1.60363,1.64818,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
10,14011.4,1.40316,1.73016,1.59751,0.65617,0.53777,0.58472,0.36358,1.46964,1.55641,1.62126,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
